Date,Close,Volume,Market_Cap,Variance,Ethereum,Litecoin,Market_Cap_stndrd,Close_stndrd,Litecoin_stndrd,Ethereum_stndrd,Volume_stndrd,Volume_divided,Market_Cap_divided
2017-07-18,2318.88,1512450048,38158677672,38049.992,234.39,44.3,-1.3297273260800813,-1.3087536898984953,-0.7621704551314424,-0.768101027450809,-0.8867381741587519,1512.450048,3815.8677672
2017-07-19,2273.43,1245100032,37415031061,38049.992,199.7,40.86,-1.3423823032665794,-1.3218048250336143,-0.8134178342335622,-0.9012505950633999,-0.9550844067128614,1245.100032,3741.5031061
2017-07-20,2817.6,2249260032,46376428080,38049.992,227.26,45.02,-1.189882079158659,-1.165544402448846,-0.7514442595054173,-0.7954678887098973,-0.6983776598483515,2249.260032,4637.642808
2017-07-21,2667.76,1489449984,43915296559,38049.992,218.3,45.76,-1.2317642887868905,-1.208571511109929,-0.7404201140008916,-0.8298587830831695,-0.8926179857496492,1489.449984,4391.5296559
2017-07-22,2810.12,1177129984,46264340367,38049.992,229.48,46.56,-1.191789527441109,-1.16769231203764,-0.7285021188608637,-0.7869469305058053,-0.9724604921039391,1177.129984,4626.4340367
2017-07-23,2730.4,1072840000,44957775265,38049.992,225.95,44.06,-1.2140239480837982,-1.1905842040722205,-0.7657458536734507,-0.8004960217042039,-0.9991215247314007,1072.84,4495.7775265
2017-07-24,2754.86,866473984,45366654309,38049.992,224.71,44.41,-1.2070658649064958,-1.1835604248553884,-0.7605317307996886,-0.8052554758362191,-1.0518776080555217,866.473984,4536.6654309
2017-07-25,2576.48,1460089984,42433788244,38049.992,206.71,42.24,-1.256975798730734,-1.2347828997817372,-0.792859292617014,-0.8743443261396678,-0.9001236721820326,1460.089984,4243.3788244
2017-07-26,2529.45,937404032,41663929265,38049.992,203.95,42.23,-1.2700768438668968,-1.2482877377444357,-0.7930082675562645,-0.8849379498528634,-1.0337448185827052,937.404032,4166.3929265
2017-07-27,2671.78,789104000,44013533097,38049.992,204.32,42.14,-1.2300925523345467,-1.2074171532827964,-0.7943490420095176,-0.8835177901521813,-1.071656723831493,789.104,4401.3533097
2017-07-28,2809.01,1380099968,46279316161,38049.992,193.12,40.61,-1.1915346774510516,-1.168011052631699,-0.8171422077148208,-0.9265064081187717,-0.9205725815082356,1380.099968,4627.9316161
2017-07-29,2726.45,803745984,44924534585,38049.992,205.79,41.12,-1.214589620058687,-1.1917184611411693,-0.8095444858130532,-0.8778755340440664,-1.0679135991498863,803.745984,4492.4534585
2017-07-30,2757.18,705942976,45435913868,38049.992,197.98,40.42,-1.2058872430636378,-1.1828942282984363,-0.8199727315605774,-0.9078524185368406,-1.092916280014732,705.942976,4543.5913868
2017-07-31,2875.34,860574976,47388334773,38049.992,203.87,43.02,-1.1726619964939113,-1.1489641484840103,-0.7812392473554869,-0.8852450114097675,-1.0533856497554577,860.574976,4738.8334773
2017-08-01,2718.26,1324669952,44804603885,38049.992,226.77,43.04,-1.2166305360663856,-1.1940702498486857,-0.7809412974769863,-0.7973486407459356,-0.9347428921021727,1324.669952,4480.4603885
2017-08-02,2710.67,1094950016,44684649516,38049.992,219.95,42.13,-1.2186718548603683,-1.1962497463431974,-0.7944980169487679,-0.8235256384720201,-0.9934692479224437,1094.950016,4468.4649516
2017-08-03,2804.73,804796992,46239970790,38049.992,225.34,42.86,-1.192204235766835,-1.1692400704178003,-0.7836228463834926,-0.8028373660755984,-1.0676449160270685,804.796992,4623.997079
2017-08-04,2895.89,1002120000,47749461443,38049.992,223.07,43.45,-1.1665165374779136,-1.1430631401885936,-0.774833324967722,-0.8115502377527556,-1.0172006168464602,1002.12,4774.9461443
2017-08-05,3252.91,1945699968,53643452554,38049.992,256.51,46.86,-1.0662157737229014,-1.040543530376928,-0.7240328706833533,-0.6831985069667931,-0.7759807475110969,1945.699968,5364.3452554
2017-08-06,3213.94,1105030016,53006426108,38049.992,261.57,45.1,-1.0770563464117022,-1.0517339096115943,-0.7502524599914145,-0.6637768634926013,-0.9908923637521977,1105.030016,5300.6426108
2017-08-07,3378.94,1482279936,55734179251,38049.992,269.18,45.8,-1.03063691373434,-1.0043535510352546,-0.7398242142438902,-0.6345676328920877,-0.8944509602725763,1482.279936,5573.4179251
